Ativo;Dia;Abertura;Fechamento;Tempo Operação;Qtd;Lado;Preço Compra;Preço Venda;Resultado Financeiro;Resultado Pontos;Total Acumulado;Acumlado Dia
WING20;20/01/2020;20/01/2020 10:06;20/01/2020 10:08;1min29s;1;V;118.315,00;118.410,00;19;95;8;75
WING20;20/01/2020;20/01/2020 10:12;20/01/2020 10:14;1min44s;1;V;118.255,00;118.355,00;20;100;28;175
WING20;20/01/2020;20/01/2020 10:17;20/01/2020 10:18;51s;1;V;118.250,00;118.340,00;18;90;46;265
WING20;20/01/2020;20/01/2020 10:19;20/01/2020 10:31;11min27s;1;V;118.430,00;118.365,00;-13;-65;33;200
WING20;20/01/2020;20/01/2020 10:48;20/01/2020 11:00;12min5s;1;C;118.640,00;118.660,00;4;20;37;220
WING20;20/01/2020;20/01/2020 11:07;20/01/2020 11:21;14min31s;1;C;118.605,00;118.515,00;-18;-90;19;130
WING20;20/01/2020;20/01/2020 11:25;20/01/2020 11:32;6min54s;1;C;118.450,00;118.490,00;8;40;27;170
WING20;20/01/2020;20/01/2020 11:32;20/01/2020 11:56;23min44s;1;V;118.605,00;118.515,00;-18;-90;9;80
WING20;20/01/2020;20/01/2020 11:59;20/01/2020 12:07;8min7s;1;C;118.575,00;118.600,00;5;25;14;105
WING20;20/01/2020;20/01/2020 12:15;20/01/2020 12:23;8min29s;1;C;118.605,00;118.625,00;4;20;18;125
WING20;20/01/2020;20/01/2020 12:35;20/01/2020 12:41;6min33s;1;C;118.660,00;118.685,00;5;25;23;150
WING20;20/01/2020;20/01/2020 12:49;20/01/2020 12:58;8min51s;1;C;118.690,00;118.715,00;5;25;28;175
WING20;20/01/2020;20/01/2020 13:05;20/01/2020 13:12;7min21s;1;C;118.705,00;118.725,00;4;20;32;195
WING20;20/01/2020;20/01/2020 13:46;20/01/2020 14:03;17min6s;1;C;118.830,00;118.755,00;-15;-75;17;120
WING20;20/01/2020;20/01/2020 14:04;20/01/2020 14:09;4min51s;1;C;118.700,00;118.745,00;9;45;26;165
WING20;20/01/2020;20/01/2020 14:10;20/01/2020 14:12;1min14s;1;C;118.695,00;118.745,00;10;50;36;215
WING20;20/01/2020;20/01/2020 14:23;20/01/2020 14:30;6min52s;1;V;118.780,00;118.785,00;1;5;37;220
WING20;20/01/2020;20/01/2020 14:43;20/01/2020 14:46;2min55s;1;C;118.830,00;118.860,00;6;30;43;250
WING20;21/01/2020;21/01/2020 09:29;21/01/2020 09:34;5min24s;1;V;118.330,00;118.390,00;12;60;55;60
WING20;21/01/2020;21/01/2020 09:42;21/01/2020 09:43;1min6s;1;V;118.315,00;118.370,00;11;55;66;115
WING20;21/01/2020;21/01/2020 09:49;21/01/2020 10:02;12min38s;1;V;118.390,00;118.350,00;-8;-40;58;75
WING20;21/01/2020;21/01/2020 10:02;21/01/2020 10:08;6min14s;1;C;118.320,00;118.405,00;17;85;75;160
WING20;21/01/2020;21/01/2020 10:16;21/01/2020 10:38;21min52s;1;V;118.570,00;118.325,00;-49;-245;26;-85
WING20;21/01/2020;21/01/2020 10:49;21/01/2020 10:51;2min15s;1;C;118.625,00;118.690,00;13;65;39;-20
WING20;21/01/2020;21/01/2020 10:55;21/01/2020 10:58;2min50s;1;C;118.620,00;118.675,00;11;55;50;35
WING20;21/01/2020;21/01/2020 11:07;21/01/2020 11:18;11min1s;1;C;118.635,00;118.660,00;5;25;55;60
WING20;21/01/2020;21/01/2020 11:21;21/01/2020 11:37;15min35s;1;V;118.675,00;118.640,00;-7;-35;48;25
WING20;21/01/2020;21/01/2020 11:58;21/01/2020 12:00;1min51s;1;V;118.510,00;118.595,00;17;85;65;110
WING20;21/01/2020;21/01/2020 12:10;21/01/2020 12:12;2min7s;1;V;118.510,00;118.550,00;8;40;73;150
WING20;21/01/2020;21/01/2020 12:14;21/01/2020 12:16;2min12s;1;V;118.505,00;118.570,00;13;65;86;215
WING20;21/01/2020;21/01/2020 12:32;21/01/2020 12:33;1min1s;1;V;118.450,00;118.500,00;10;50;96;265
WING20;21/01/2020;21/01/2020 12:36;21/01/2020 12:38;2min46s;1;V;118.445,00;118.500,00;11;55;107;320
WING20;21/01/2020;21/01/2020 12:44;21/01/2020 12:47;2min42s;1;V;118.450,00;118.485,00;7;35;114;355
WING20;21/01/2020;21/01/2020 12:47;21/01/2020 12:53;5min43s;1;C;118.430,00;118.450,00;4;20;118;375
WING20;21/01/2020;21/01/2020 12:55;21/01/2020 12:57;1min23s;1;V;118.425,00;118.465,00;8;40;126;415
WING20;21/01/2020;21/01/2020 13:06;21/01/2020 13:21;14min26s;1;V;118.440,00;118.430,00;-2;-10;124;405
WING20;21/01/2020;21/01/2020 13:23;21/01/2020 13:29;5min24s;1;C;118.425,00;118.460,00;7;35;131;440
WING20;21/01/2020;21/01/2020 13:31;21/01/2020 13:33;2min43s;1;C;118.425,00;118.460,00;7;35;138;475
WING20;21/01/2020;21/01/2020 13:35;21/01/2020 13:37;2min20s;1;C;118.420,00;118.455,00;7;35;145;510
WING20;21/01/2020;21/01/2020 13:48;21/01/2020 13:51;3min4s;1;C;118.445,00;118.460,00;3;15;148;525
WING20;21/01/2020;21/01/2020 13:58;21/01/2020 14:29;30min30s;1;C;118.440,00;118.295,00;-29;-145;119;380
WING20;21/01/2020;21/01/2020 14:33;21/01/2020 14:42;9min17s;1;V;118.305,00;118.310,00;1;5;120;385
WING20;22/01/2020;22/01/2020 09:42;22/01/2020 09:43;1min1s;1;C;117.995,00;118.030,00;7;35;127;35
WING20;22/01/2020;22/01/2020 09:45;22/01/2020 09:49;4min11s;1;C;117.980,00;118.010,00;6;30;133;65
WING20;22/01/2020;22/01/2020 09:58;22/01/2020 10:00;1min58s;1;C;117.995,00;118.030,00;7;35;140;100
WING20;22/01/2020;22/01/2020 10:15;22/01/2020 10:16;58s;1;C;118.095,00;118.155,00;12;60;152;160
WING20;22/01/2020;22/01/2020 10:21;22/01/2020 10:23;1min33s;1;C;118.115,00;118.165,00;10;50;162;210
WING20;22/01/2020;22/01/2020 10:24;22/01/2020 10:29;5min7s;1;C;118.110,00;118.140,00;6;30;168;240
WING20;22/01/2020;22/01/2020 10:31;22/01/2020 10:44;13min16s;1;C;118.090,00;117.965,00;-25;-125;143;115
WING20;22/01/2020;22/01/2020 10:56;22/01/2020 10:59;2min52s;1;C;117.930,00;118.000,00;14;70;157;185
WING20;22/01/2020;22/01/2020 11:24;22/01/2020 11:32;8min3s;1;C;118.090,00;118.170,00;16;80;173;265
WING20;22/01/2020;22/01/2020 11:44;22/01/2020 11:57;13min8s;1;C;118.180,00;118.160,00;-4;-20;169;245
WING20;22/01/2020;22/01/2020 12:02;22/01/2020 12:08;6min35s;1;C;118.115,00;118.145,00;6;30;175;275
WING20;22/01/2020;22/01/2020 12:25;22/01/2020 12:55;29min54s;1;V;118.150,00;117.940,00;-42;-210;133;65
WING20;22/01/2020;22/01/2020 12:56;22/01/2020 12:58;1min30s;1;C;118.115,00;118.170,00;11;55;144;120
WING20;22/01/2020;22/01/2020 13:00;22/01/2020 13:10;9min56s;1;C;118.120,00;118.155,00;7;35;151;155
WING20;22/01/2020;22/01/2020 13:12;22/01/2020 13:27;14min46s;1;C;118.105,00;118.090,00;-3;-15;148;140
WING20;22/01/2020;22/01/2020 13:44;22/01/2020 13:45;1min16s;1;C;118.150,00;118.190,00;8;40;156;180
WING20;22/01/2020;22/01/2020 13:49;22/01/2020 13:51;1min30s;1;C;118.150,00;118.180,00;6;30;162;210
WING20;22/01/2020;22/01/2020 13:56;22/01/2020 14:00;3min57s;1;C;118.155,00;118.165,00;2;10;164;220
WING20;22/01/2020;22/01/2020 14:01;22/01/2020 14:11;10min16s;1;C;118.135,00;118.100,00;-7;-35;157;185
WING20;22/01/2020;22/01/2020 14:16;22/01/2020 14:21;5min6s;1;V;118.095,00;118.115,00;4;20;161;205
WING20;22/01/2020;22/01/2020 14:24;22/01/2020 14:25;1min4s;1;V;118.080,00;118.135,00;11;55;172;260
WING20;23/01/2020;23/01/2020 09:41;23/01/2020 09:42;54s;1;V;117.875,00;117.905,00;6;30;178;30
WING20;23/01/2020;23/01/2020 09:45;23/01/2020 09:48;3min38s;1;V;117.865,00;117.915,00;10;50;188;80
WING20;23/01/2020;23/01/2020 09:51;23/01/2020 09:54;2min29s;1;V;117.890,00;117.920,00;6;30;194;110
WING20;23/01/2020;23/01/2020 09:58;23/01/2020 10:00;2min3s;1;V;117.890,00;117.915,00;5;25;199;135
WING20;23/01/2020;23/01/2020 10:01;23/01/2020 10:30;29min11s;1;C;117.875,00;117.470,00;-81;-405;118;-270
WING20;23/01/2020;23/01/2020 10:33;23/01/2020 10:33;27s;1;V;117.425,00;117.515,00;18;90;136;-180
WING20;23/01/2020;23/01/2020 10:36;23/01/2020 10:37;1min39s;1;V;117.420,00;117.505,00;17;85;153;-95
WING20;23/01/2020;23/01/2020 10:40;23/01/2020 10:44;3min40s;1;V;117.430,00;117.500,00;14;70;167;-25
WING20;23/01/2020;23/01/2020 10:47;23/01/2020 10:54;7min6s;1;V;117.450,00;117.495,00;9;45;176;20
WING20;23/01/2020;23/01/2020 11:02;23/01/2020 11:13;11min18s;1;V;117.465,00;117.470,00;1;5;177;25
WING20;23/01/2020;23/01/2020 11:17;23/01/2020 11:20;2min43s;1;V;117.455,00;117.500,00;9;45;186;70
WING20;23/01/2020;23/01/2020 11:31;23/01/2020 11:54;23min41s;1;C;117.470,00;117.275,00;-39;-195;147;-125
WING20;23/01/2020;23/01/2020 11:58;23/01/2020 12:57;59min36s;1;V;117.860,00;117.290,00;-114;-570;33;-695
WING20;23/01/2020;23/01/2020 13:01;23/01/2020 13:08;6min29s;1;C;117.845,00;117.885,00;8;40;41;-655
WING20;23/01/2020;23/01/2020 13:09;23/01/2020 13:15;5min36s;1;C;117.835,00;117.865,00;6;30;47;-625
WING20;23/01/2020;23/01/2020 13:21;23/01/2020 13:53;31min34s;1;V;118.540,00;117.825,00;-143;-715;-96;-1340
WING20;23/01/2020;23/01/2020 14:30;23/01/2020 14:30;31s;1;C;118.660,00;118.725,00;13;65;-83;-1275
WING20;23/01/2020;23/01/2020 14:38;23/01/2020 14:39;46s;1;C;118.680,00;118.750,00;14;70;-69;-1205
WING20;24/01/2020;24/01/2020 09:07;24/01/2020 09:14;6min22s;1;C;119.855,00;119.920,00;13;65;-56;65
WING20;24/01/2020;24/01/2020 09:17;24/01/2020 09:35;17min49s;1;C;119.850,00;119.655,00;-39;-195;-95;-130
WING20;24/01/2020;24/01/2020 09:36;24/01/2020 09:37;53s;1;V;119.610,00;119.685,00;15;75;-80;-55
WING20;24/01/2020;24/01/2020 09:41;24/01/2020 09:54;12min46s;1;V;119.720,00;119.675,00;-9;-45;-89;-100
WING20;24/01/2020;24/01/2020 10:03;24/01/2020 10:13;9min18s;1;C;119.770,00;119.630,00;-28;-140;-117;-240
WING20;24/01/2020;24/01/2020 10:16;24/01/2020 10:18;2min10s;1;V;119.490,00;119.665,00;35;175;-82;-65
WING20;24/01/2020;24/01/2020 10:42;24/01/2020 10:52;9min;1;V;119.390,00;119.455,00;13;65;-69;0
WING20;24/01/2020;24/01/2020 11:11;24/01/2020 11:14;2min58s;1;V;119.175,00;119.220,00;9;45;-60;45
WING20;24/01/2020;24/01/2020 11:16;24/01/2020 11:23;6min57s;1;V;119.205,00;119.225,00;4;20;-56;65
WING20;24/01/2020;24/01/2020 11:24;24/01/2020 11:28;3min52s;1;V;119.175,00;119.240,00;13;65;-43;130
WING20;24/01/2020;24/01/2020 11:30;24/01/2020 11:31;57s;1;V;119.145,00;119.235,00;18;90;-25;220
WING20;24/01/2020;24/01/2020 11:35;24/01/2020 11:47;12min14s;1;V;119.290,00;119.200,00;-18;-90;-43;130
WING20;24/01/2020;24/01/2020 11:56;24/01/2020 12:01;5min28s;1;V;119.295,00;119.350,00;11;55;-32;185
WING20;24/01/2020;24/01/2020 12:02;24/01/2020 12:37;35min16s;1;C;119.255,00;118.895,00;-72;-360;-104;-175
WING20;24/01/2020;24/01/2020 12:39;24/01/2020 12:40;1min7s;1;V;118.835,00;118.925,00;18;90;-86;-85
WING20;24/01/2020;24/01/2020 12:55;24/01/2020 13:18;22min38s;1;V;118.855,00;118.760,00;-19;-95;-105;-180
WING20;24/01/2020;24/01/2020 13:29;24/01/2020 13:31;1min44s;1;V;118.755,00;118.820,00;13;65;-92;-115
WING20;24/01/2020;24/01/2020 13:35;24/01/2020 13:40;4min51s;1;V;118.735,00;118.810,00;15;75;-77;-40
WING20;24/01/2020;24/01/2020 13:45;24/01/2020 13:48;2min34s;1;V;118.650,00;118.745,00;19;95;-58;55
WING20;24/01/2020;24/01/2020 13:51;24/01/2020 13:56;4min10s;1;V;118.670,00;118.740,00;14;70;-44;125
WING20;24/01/2020;24/01/2020 14:23;24/01/2020 14:42;18min21s;1;V;118.630,00;118.545,00;-17;-85;-61;40
WING20;24/01/2020;24/01/2020 14:48;24/01/2020 15:02;14min33s;1;V;118.755,00;118.680,00;-15;-75;-76;-35
WING20;24/01/2020;24/01/2020 15:04;24/01/2020 15:06;1min59s;1;C;118.730,00;118.785,00;11;55;-65;20
WING20;27/01/2020;27/01/2020 09:26;27/01/2020 09:29;2min41s;1;V;116.475,00;116.580,00;21;105;-44;105
WING20;27/01/2020;27/01/2020 09:31;27/01/2020 09:33;2min21s;1;V;116.475,00;116.585,00;22;110;-22;215
WING20;27/01/2020;27/01/2020 09:41;27/01/2020 09:42;1min24s;1;V;116.460,00;116.550,00;18;90;-4;305
WING20;27/01/2020;27/01/2020 10:27;27/01/2020 10:28;1min30s;1;V;115.705,00;115.795,00;18;90;14;395
WING20;27/01/2020;27/01/2020 10:40;27/01/2020 10:43;3min6s;1;V;115.645,00;115.720,00;15;75;29;470
WING20;27/01/2020;27/01/2020 11:04;27/01/2020 11:08;4min1s;1;C;115.830,00;115.890,00;12;60;41;530
WING20;27/01/2020;27/01/2020 11:10;27/01/2020 11:26;15min53s;1;C;115.820,00;115.710,00;-22;-110;19;420
WING20;27/01/2020;27/01/2020 11:28;27/01/2020 11:31;3min28s;1;C;115.615,00;115.695,00;16;80;35;500
WING20;27/01/2020;27/01/2020 11:35;27/01/2020 11:36;57s;1;C;115.655,00;115.795,00;28;140;63;640
WING20;27/01/2020;27/01/2020 11:38;27/01/2020 11:56;18min35s;1;V;115.835,00;115.825,00;-2;-10;61;630
WING20;27/01/2020;27/01/2020 12:01;27/01/2020 12:28;26min53s;1;C;115.820,00;115.710,00;-22;-110;39;520
WING20;27/01/2020;27/01/2020 12:32;27/01/2020 13:02;30min20s;1;C;115.655,00;115.400,00;-51;-255;-12;265
WING20;27/01/2020;27/01/2020 13:08;27/01/2020 13:10;2min2s;1;V;115.310,00;115.390,00;16;80;4;345
WING20;27/01/2020;27/01/2020 13:22;27/01/2020 13:27;4min20s;1;V;115.265,00;115.300,00;7;35;11;380
WING20;27/01/2020;27/01/2020 13:30;27/01/2020 13:32;2min12s;1;V;115.230,00;115.305,00;15;75;26;455
WING20;27/01/2020;27/01/2020 13:33;27/01/2020 13:46;12min57s;1;V;115.300,00;115.305,00;1;5;27;460
WING20;27/01/2020;27/01/2020 13:54;27/01/2020 13:55;32s;1;V;115.255,00;115.320,00;13;65;40;525
WING20;27/01/2020;27/01/2020 14:08;27/01/2020 14:35;27min5s;1;V;115.485,00;115.255,00;-46;-230;-6;295
WING20;27/01/2020;27/01/2020 14:36;27/01/2020 14:43;7min9s;1;C;115.465,00;115.485,00;4;20;-2;315
WING20;27/01/2020;27/01/2020 14:46;27/01/2020 14:49;3min31s;1;C;115.435,00;115.495,00;12;60;10;375
WING20;27/01/2020;27/01/2020 15:00;27/01/2020 15:05;4min28s;1;V;115.360,00;115.445,00;17;85;27;460
WING20;28/01/2020;28/01/2020 09:24;28/01/2020 09:25;29s;1;C;115.180,00;115.240,00;12;60;39;60
WING20;28/01/2020;28/01/2020 10:00;28/01/2020 10:00;43s;1;C;115.485,00;115.545,00;12;60;51;120
WING20;28/01/2020;28/01/2020 10:44;28/01/2020 10:47;2min16s;1;C;116.360,00;116.455,00;19;95;70;215
WING20;28/01/2020;28/01/2020 10:51;28/01/2020 10:59;7min24s;1;C;116.320,00;116.380,00;12;60;82;275
WING20;28/01/2020;28/01/2020 11:04;28/01/2020 11:11;7min1s;1;C;116.325,00;116.360,00;7;35;89;310
WING20;28/01/2020;28/01/2020 11:19;28/01/2020 11:42;22min46s;1;C;116.340,00;115.635,00;-141;-705;-52;-395
WING20;28/01/2020;28/01/2020 11:52;28/01/2020 11:54;1min42s;1;V;115.690,00;115.795,00;21;105;-31;-290
WING20;28/01/2020;28/01/2020 11:55;28/01/2020 11:57;1min40s;1;V;115.670,00;115.815,00;29;145;-2;-145
WING20;28/01/2020;28/01/2020 11:59;28/01/2020 12:29;29min54s;1;V;116.255,00;115.815,00;-88;-440;-90;-585
WING20;28/01/2020;28/01/2020 12:30;28/01/2020 12:45;15min48s;1;C;116.195,00;116.100,00;-19;-95;-109;-680
WING20;28/01/2020;28/01/2020 13:00;28/01/2020 13:01;1min4s;1;V;115.835,00;115.925,00;18;90;-91;-590
WING20;28/01/2020;28/01/2020 13:11;28/01/2020 13:20;8min11s;1;V;115.820,00;115.860,00;8;40;-83;-550
WING20;28/01/2020;28/01/2020 13:22;28/01/2020 13:25;3min37s;1;C;115.820,00;115.890,00;14;70;-69;-480
WING20;28/01/2020;28/01/2020 13:27;28/01/2020 13:44;17min52s;1;V;115.965,00;115.900,00;-13;-65;-82;-545
WING20;28/01/2020;28/01/2020 13:45;28/01/2020 13:53;8min6s;1;C;115.960,00;115.990,00;6;30;-76;-515
WING20;28/01/2020;28/01/2020 13:54;28/01/2020 14:15;21min7s;1;V;116.070,00;115.995,00;-15;-75;-91;-590
WING20;28/01/2020;28/01/2020 14:30;28/01/2020 14:47;16min40s;1;C;116.170,00;116.100,00;-14;-70;-105;-660
WING20;28/01/2020;28/01/2020 14:48;28/01/2020 14:51;2min59s;1;V;116.050,00;116.120,00;14;70;-91;-590
WING20;28/01/2020;28/01/2020 14:57;28/01/2020 15:00;3min18s;1;V;116.025,00;116.080,00;11;55;-80;-535
WING20;29/01/2020;29/01/2020 09:25;29/01/2020 09:33;8min47s;1;C;117.165,00;117.160,00;-1;-5;-81;-5
WING20;29/01/2020;29/01/2020 09:43;29/01/2020 09:47;4min27s;1;C;117.140,00;117.215,00;15;75;-66;70
WING20;29/01/2020;29/01/2020 09:48;29/01/2020 09:56;7min45s;1;C;117.115,00;117.145,00;6;30;-60;100
WING20;29/01/2020;29/01/2020 09:59;29/01/2020 10:03;3min47s;1;V;117.115,00;117.200,00;17;85;-43;185
WING20;29/01/2020;29/01/2020 10:13;29/01/2020 10:15;2min38s;1;C;117.155,00;117.215,00;12;60;-31;245
WING20;29/01/2020;29/01/2020 10:30;29/01/2020 10:31;1min14s;1;V;116.810,00;116.935,00;25;125;-6;370
WING20;29/01/2020;29/01/2020 10:50;29/01/2020 10:57;7min1s;1;V;116.585,00;116.670,00;17;85;11;455
WING20;29/01/2020;29/01/2020 11:00;29/01/2020 11:15;15min24s;1;V;116.670,00;116.675,00;1;5;12;460
WING20;29/01/2020;29/01/2020 11:18;29/01/2020 11:31;12min50s;1;C;116.680,00;116.675,00;-1;-5;11;455
WING20;29/01/2020;29/01/2020 11:33;29/01/2020 11:37;4min5s;1;V;116.595,00;116.665,00;14;70;25;525
WING20;29/01/2020;29/01/2020 12:14;29/01/2020 12:26;12min3s;1;V;116.115,00;116.080,00;-7;-35;18;490
WING20;29/01/2020;29/01/2020 12:27;29/01/2020 12:35;8min4s;1;V;116.145,00;116.195,00;10;50;28;540
WING20;29/01/2020;29/01/2020 12:39;29/01/2020 12:48;8min45s;1;V;116.140,00;116.215,00;15;75;43;615
WING20;29/01/2020;29/01/2020 13:20;29/01/2020 13:21;40s;1;C;116.405,00;116.480,00;15;75;58;690
WING20;29/01/2020;29/01/2020 13:26;29/01/2020 13:29;3min2s;1;C;116.445,00;116.510,00;13;65;71;755
WING20;30/01/2020;30/01/2020 09:39;30/01/2020 09:41;2min10s;1;V;114.130,00;114.185,00;11;55;82;55
WING20;30/01/2020;30/01/2020 09:50;30/01/2020 09:54;4min31s;1;V;114.135,00;114.155,00;4;20;86;75
WING20;30/01/2020;30/01/2020 10:15;30/01/2020 10:16;49s;1;V;113.845,00;114.005,00;32;160;118;235
WING20;30/01/2020;30/01/2020 10:29;30/01/2020 10:34;4min42s;1;C;113.940,00;114.015,00;15;75;133;310
WING20;30/01/2020;30/01/2020 10:39;30/01/2020 11:13;33min44s;1;C;113.940,00;113.640,00;-60;-300;73;10
WING20;30/01/2020;30/01/2020 11:16;30/01/2020 11:25;9min3s;1;C;113.575,00;113.540,00;-7;-35;66;-25
WING20;30/01/2020;30/01/2020 11:31;30/01/2020 11:32;46s;1;V;113.420,00;113.515,00;19;95;85;70
WING20;30/01/2020;30/01/2020 11:43;30/01/2020 11:52;9min26s;1;V;113.560,00;113.595,00;7;35;92;105
WING20;30/01/2020;30/01/2020 12:30;30/01/2020 13:00;30min13s;1;C;113.320,00;113.090,00;-46;-230;46;-125
WING20;30/01/2020;30/01/2020 13:26;30/01/2020 13:44;17min45s;1;V;113.235,00;113.145,00;-18;-90;28;-215
WING20;30/01/2020;30/01/2020 13:46;30/01/2020 14:09;23min38s;1;V;113.495,00;113.290,00;-41;-205;-13;-420
WING20;30/01/2020;30/01/2020 14:13;30/01/2020 14:18;5min24s;1;C;113.470,00;113.490,00;4;20;-9;-400
WING20;30/01/2020;30/01/2020 14:20;30/01/2020 14:21;1min13s;1;V;113.465,00;113.530,00;13;65;4;-335
WING20;30/01/2020;30/01/2020 14:50;30/01/2020 15:08;17min17s;1;V;113.445,00;113.235,00;-42;-210;-38;-545
WING20;31/01/2020;31/01/2020 10:19;31/01/2020 10:21;1min30s;1;V;113.950,00;114.005,00;11;55;-27;55
WING20;31/01/2020;31/01/2020 10:27;31/01/2020 10:40;13min;1;V;114.135,00;114.010,00;-25;-125;-52;-70
WING20;31/01/2020;31/01/2020 10:59;31/01/2020 10:59;28s;1;C;114.380,00;114.460,00;16;80;-36;10
WING20;31/01/2020;31/01/2020 11:00;31/01/2020 11:15;14min49s;1;C;114.370,00;114.345,00;-5;-25;-41;-15
WING20;31/01/2020;31/01/2020 11:36;31/01/2020 11:45;8min39s;1;V;114.110,00;114.125,00;3;15;-38;0
WING20;31/01/2020;31/01/2020 11:55;31/01/2020 12:00;4min55s;1;V;114.060,00;114.140,00;16;80;-22;80
WING20;31/01/2020;31/01/2020 12:22;31/01/2020 12:25;2min14s;1;V;113.675,00;113.790,00;23;115;1;195
WING20;31/01/2020;31/01/2020 12:34;31/01/2020 12:38;3min32s;1;V;113.590,00;113.675,00;17;85;18;280
WING20;31/01/2020;31/01/2020 12:41;31/01/2020 12:48;6min43s;1;V;113.595,00;113.665,00;14;70;32;350
WING20;31/01/2020;31/01/2020 12:50;31/01/2020 12:55;4min36s;1;C;113.585,00;113.640,00;11;55;43;405
WING20;31/01/2020;31/01/2020 12:59;31/01/2020 13:09;9min52s;1;V;113.620,00;113.650,00;6;30;49;435
WING20;31/01/2020;31/01/2020 13:11;31/01/2020 13:11;30s;1;V;113.605,00;113.695,00;18;90;67;525
WING20;31/01/2020;31/01/2020 13:19;31/01/2020 13:23;4min36s;1;V;113.545,00;113.630,00;17;85;84;610
WING20;31/01/2020;31/01/2020 13:40;31/01/2020 14:13;33min49s;1;V;113.730,00;113.470,00;-52;-260;32;350
WING20;31/01/2020;31/01/2020 14:35;31/01/2020 14:44;9min43s;1;C;113.850,00;113.730,00;-24;-120;8;230
WING20;31/01/2020;31/01/2020 14:54;31/01/2020 15:07;13min3s;1;V;113.655,00;113.675,00;4;20;12;250
